UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet
1475229023,9/29/2016 12:00:00 AM,23:50:23,1.21,48,30.46,58,176.78,3.37,06:13:00,18:13:00
1475228124,9/29/2016 12:00:00 AM,23:35:24,1.17,48,30.46,62,104.95,5.62,06:13:00,18:13:00
1475227222,9/29/2016 12:00:00 AM,23:20:22,1.24,49,30.46,71,122.97,5.62,06:13:00,18:13:00
1475226323,9/29/2016 12:00:00 AM,23:05:23,1.23,49,30.47,93,120.55,2.25,06:13:00,18:13:00
1475225419,9/29/2016 12:00:00 AM,22:50:19,1.21,50,30.47,99,140.92,2.25,06:13:00,18:13:00
1475224519,9/29/2016 12:00:00 AM,22:35:19,1.21,50,30.47,99,123.03,10.12,06:13:00,18:13:00
1475223622,9/29/2016 12:00:00 AM,22:20:22,1.2,50,30.47,98,109.74,6.75,06:13:00,18:13:00
1475222720,9/29/2016 12:00:00 AM,22:05:20,1.21,50,30.47,97,158.35,4.5,06:13:00,18:13:00
1475221832,9/29/2016 12:00:00 AM,21:50:32,1.22,50,30.47,96,152.52,6.75,06:13:00,18:13:00
1475220921,9/29/2016 12:00:00 AM,21:35:21,1.23,50,30.47,95,172.96,7.87,06:13:00,18:13:00
1475220021,9/29/2016 12:00:00 AM,21:20:21,1.2,50,30.47,93,165.93,4.5,06:13:00,18:13:00
1475219126,9/29/2016 12:00:00 AM,21:05:26,1.24,50,30.47,93,116.16,5.62,06:13:00,18:13:00
1475218220,9/29/2016 12:00:00 AM,20:50:20,1.25,50,30.47,90,133.69,6.75,06:13:00,18:13:00
1475217319,9/29/2016 12:00:00 AM,20:35:19,1.21,50,30.47,86,132.66,4.5,06:13:00,18:13:00
1475216423,9/29/2016 12:00:00 AM,20:20:23,1.23,50,30.47,81,123.25,3.37,06:13:00,18:13:00
1475215522,9/29/2016 12:00:00 AM,20:05:22,1.22,50,30.46,63,160.51,3.37,06:13:00,18:13:00
1475214622,9/29/2016 12:00:00 AM,19:50:22,1.24,50,30.46,46,151.6,3.37,06:13:00,18:13:00
1475213722,9/29/2016 12:00:00 AM,19:35:22,1.19,50,30.46,56,140.92,4.5,06:13:00,18:13:00
1475212820,9/29/2016 12:00:00 AM,19:20:20,1.23,51,30.46,54,119.97,4.5,06:13:00,18:13:00
1475211920,9/29/2016 12:00:00 AM,19:05:20,1.24,51,30.45,51,111.73,2.25,06:13:00,18:13:00
1475211024,9/29/2016 12:00:00 AM,18:50:24,1.24,51,30.45,52,120.86,5.62,06:13:00,18:13:00
1475210121,9/29/2016 12:00:00 AM,18:35:21,1.24,52,30.44,55,129.29,6.75,06:13:00,18:13:00
1475209223,9/29/2016 12:00:00 AM,18:20:23,5.07,53,30.44,61,174.97,4.5,06:13:00,18:13:00
1475208322,9/29/2016 12:00:00 AM,18:05:22,10.96,54,30.44,59,154.16,4.5,06:13:00,18:13:00
1475207419,9/29/2016 12:00:00 AM,17:50:19,33.75,56,30.44,52,74.56,2.25,06:13:00,18:13:00
1475206538,9/29/2016 12:00:00 AM,17:35:38,87.23,56,30.44,48,67.49,3.37,06:13:00,18:13:00
1475205625,9/29/2016 12:00:00 AM,17:20:25,160.52,57,30.43,55,47.3,5.62,06:13:00,18:13:00
1475204722,9/29/2016 12:00:00 AM,17:05:22,240.99,58,30.43,45,132.36,5.62,06:13:00,18:13:00
1475203822,9/29/2016 12:00:00 AM,16:50:22,322.71,58,30.43,56,94.24,7.87,06:13:00,18:13:00
1475202941,9/29/2016 12:00:00 AM,16:35:41,368.35,58,30.43,51,78.81,5.62,06:13:00,18:13:00
1475202025,9/29/2016 12:00:00 AM,16:20:25,457.69,58,30.43,59,18.26,4.5,06:13:00,18:13:00
1475201120,9/29/2016 12:00:00 AM,16:05:20,187.96,58,30.43,49,0.13,4.5,06:13:00,18:13:00
1475200221,9/29/2016 12:00:00 AM,15:50:21,623.31,60,30.43,46,22.18,7.87,06:13:00,18:13:00
1475199319,9/29/2016 12:00:00 AM,15:35:19,671.97,60,30.42,47,0.4,7.87,06:13:00,18:13:00
1475198424,9/29/2016 12:00:00 AM,15:20:24,687.62,60,30.43,54,2.04,4.5,06:13:00,18:13:00
1475197523,9/29/2016 12:00:00 AM,15:05:23,744.43,61,30.43,50,1.6,5.62,06:13:00,18:13:00
1475197330,9/29/2016 12:00:00 AM,15:02:10,612.34,61,30.42,53,345.21,7.87,06:13:00,18:13:00
1475196621,9/29/2016 12:00:00 AM,14:50:21,773.71,61,30.42,57,30.3,6.75,06:13:00,18:13:00
1475195724,9/29/2016 12:00:00 AM,14:35:24,818.82,61,30.42,53,84.61,6.75,06:13:00,18:13:00
1475194821,9/29/2016 12:00:00 AM,14:20:21,867.9,62,30.42,54,62.54,3.37,06:13:00,18:13:00
1475193020,9/29/2016 12:00:00 AM,13:50:20,933.15,62,30.43,47,346.87,5.62,06:13:00,18:13:00
1475192121,9/29/2016 12:00:00 AM,13:35:21,959.47,62,30.43,54,19.98,9,06:13:00,18:13:00
1475191220,9/29/2016 12:00:00 AM,13:20:20,985.22,62,30.44,53,61.93,7.87,06:13:00,18:13:00
1475190322,9/29/2016 12:00:00 AM,13:05:22,1004.6,62,30.44,54,45.65,7.87,06:13:00,18:13:00
1475189420,9/29/2016 12:00:00 AM,12:50:20,1020.55,62,30.44,51,21.54,10.12,06:13:00,18:13:00
1475188520,9/29/2016 12:00:00 AM,12:35:20,1034.46,63,30.45,43,79.08,7.87,06:13:00,18:13:00
1475187620,9/29/2016 12:00:00 AM,12:20:20,1039.67,63,30.45,39,40.66,6.75,06:13:00,18:13:00
1475186720,9/29/2016 12:00:00 AM,12:05:20,1040.14,63,30.45,41,117.62,4.5,06:13:00,18:13:00
1475185820,9/29/2016 12:00:00 AM,11:50:20,1033.49,63,30.46,39,350,5.62,06:13:00,18:13:00
1475184919,9/29/2016 12:00:00 AM,11:35:19,1023.78,63,30.46,41,31.9,9,06:13:00,18:13:00
1475184021,9/29/2016 12:00:00 AM,11:20:21,1009.36,63,30.47,34,61.67,9,06:13:00,18:13:00
1475183516,9/29/2016 12:00:00 AM,11:11:56,999.19,63,30.47,31,4.51,6.75,06:13:00,18:13:00
1475183122,9/29/2016 12:00:00 AM,11:05:22,987.02,62,30.47,36,38.9,10.12,06:13:00,18:13:00
1475182222,9/29/2016 12:00:00 AM,10:50:22,964.46,63,30.47,37,60.94,6.75,06:13:00,18:13:00
1475181322,9/29/2016 12:00:00 AM,10:35:22,933.08,62,30.47,45,37.37,11.25,06:13:00,18:13:00
1475180419,9/29/2016 12:00:00 AM,10:20:19,901.65,62,30.47,42,24.74,9,06:13:00,18:13:00
1475179523,9/29/2016 12:00:00 AM,10:05:23,867.98,61,30.47,44,359.93,6.75,06:13:00,18:13:00
1475178622,9/29/2016 12:00:00 AM,09:50:22,830.19,62,30.47,38,52.73,10.12,06:13:00,18:13:00
1475177725,9/29/2016 12:00:00 AM,09:35:25,785.6,61,30.47,41,37.83,7.87,06:13:00,18:13:00
1475176822,9/29/2016 12:00:00 AM,09:20:22,738.75,61,30.47,43,7.25,7.87,06:13:00,18:13:00
1475175921,9/29/2016 12:00:00 AM,09:05:21,686.3,61,30.46,45,70.29,3.37,06:13:00,18:13:00
1475175023,9/29/2016 12:00:00 AM,08:50:23,634.99,61,30.46,41,14.96,6.75,06:13:00,18:13:00
1475174122,9/29/2016 12:00:00 AM,08:35:22,578.24,61,30.46,31,24.56,4.5,06:13:00,18:13:00
1475173223,9/29/2016 12:00:00 AM,08:20:23,519.16,60,30.46,41,25.35,4.5,06:13:00,18:13:00
1475172318,9/29/2016 12:00:00 AM,08:05:18,458.27,59,30.45,40,74.63,1.12,06:13:00,18:13:00
1475171419,9/29/2016 12:00:00 AM,07:50:19,395.14,59,30.44,31,75.7,3.37,06:13:00,18:13:00
1475169628,9/29/2016 12:00:00 AM,07:20:28,251.51,51,30.43,44,151.94,2.25,06:13:00,18:13:00
1475168723,9/29/2016 12:00:00 AM,07:05:23,21.36,48,30.43,48,176.93,4.5,06:13:00,18:13:00
1475167819,9/29/2016 12:00:00 AM,06:50:19,18.33,47,30.42,53,191.44,7.87,06:13:00,18:13:00
1475166919,9/29/2016 12:00:00 AM,06:35:19,14.73,47,30.42,56,179.45,10.12,06:13:00,18:13:00
1475166020,9/29/2016 12:00:00 AM,06:20:20,7.7,47,30.41,58,192.09,7.87,06:13:00,18:13:00
1475165120,9/29/2016 12:00:00 AM,06:05:20,2.34,47,30.41,62,187.76,7.87,06:13:00,18:13:00
1475164221,9/29/2016 12:00:00 AM,05:50:21,1.23,47,30.41,59,182.07,9,06:13:00,18:13:00
1475163326,9/29/2016 12:00:00 AM,05:35:26,1.21,46,30.4,58,188.4,7.87,06:13:00,18:13:00
1475162424,9/29/2016 12:00:00 AM,05:20:24,1.22,45,30.4,56,184.3,5.62,06:13:00,18:13:00
1475161520,9/29/2016 12:00:00 AM,05:05:20,1.16,46,30.4,55,165.66,6.75,06:13:00,18:13:00
1475160625,9/29/2016 12:00:00 AM,04:50:25,1.18,46,30.4,50,174.53,5.62,06:13:00,18:13:00
1475159719,9/29/2016 12:00:00 AM,04:35:19,1.18,46,30.39,49,176.34,3.37,06:13:00,18:13:00
1475158821,9/29/2016 12:00:00 AM,04:20:21,1.17,46,30.39,47,170.45,4.5,06:13:00,18:13:00
1475157918,9/29/2016 12:00:00 AM,04:05:18,1.17,46,30.39,45,173.01,5.62,06:13:00,18:13:00
1475157026,9/29/2016 12:00:00 AM,03:50:26,1.18,46,30.39,47,189.46,6.75,06:13:00,18:13:00
1475156122,9/29/2016 12:00:00 AM,03:35:22,1.21,46,30.39,52,173.17,5.62,06:13:00,18:13:00
1475155223,9/29/2016 12:00:00 AM,03:20:23,1.18,47,30.38,57,170.61,4.5,06:13:00,18:13:00
